Sno,Weight
0,-0.040937837
1,-0.010353765
2,-0.016667366
3,0.012912239
4,-0.007439193
5,0.020249631
6,-0.0024492536
7,-0.044801895
8,0.00810062
9,0.007078101
10,0.027895208
11,-0.021598082
12,-0.009820795
13,0.007903437
14,-0.07594643
15,0.025172628
16,0.017944012
17,0.043115452
18,0.023458114
19,-0.05342942
20,-0.0023589395
21,-0.046345
22,-0.006663636
23,-0.030056825
24,-0.031396005
25,-0.0036633925
26,-0.0016136531
27,-0.015666457
28,-0.06825577
29,0.0052749147
30,-0.044395678
31,0.02452818
32,0.007977722
33,0.032970197
34,-0.019830335
35,-0.047688037
36,-0.032194205
37,-0.0073812413
38,-0.006769525
39,-0.031070057
40,-0.01049064
41,-0.035884984
42,0.040204503
43,-0.032197986
44,0.00879459
45,0.011380029
46,-0.00014395751
47,-0.052085053
48,0.016190821
49,-0.03855729
50,0.010674451
51,0.039017573
52,0.029935874
53,-0.024503168
54,-0.046766307
55,0.020920716
56,0.010988155
57,0.022321492
58,0.045762114
59,0.0006253421
60,0.010352196
61,0.008521532
62,0.0055816937
63,0.0076489314
64,0.020392688
65,-0.015348305
66,-0.0067399237
67,-0.035500005
68,-0.037720345
69,-0.027067944
70,-0.0027934825
71,0.04606763
72,0.024233416
73,0.01694793
74,-0.0024954237
75,0.030785354
76,0.01726743
77,-0.053020693
78,-0.052049547
79,0.012095336
80,-0.015362824
81,-0.03451483
82,0.026778858
83,-0.044747327
84,-0.007230309
85,-0.027929302
86,0.0027950853
87,-0.006293801
88,-0.00577764
89,0.0073710703
90,-0.04781989
91,-0.0033886537
92,0.010499401
93,-0.024895892
94,0.014998638
95,0.024288235
96,-0.0007915039
97,-0.038963746
98,0.022064613
99,0.009720142
100,-0.047159657
101,-0.030544452
102,0.0036241116
103,-0.00056148676
104,-0.052320637
105,0.010604583
106,-0.019768503
107,-0.0027376527
108,0.022507275
109,0.00223007
110,-0.036520872
111,-0.025876198
112,-0.008676627
113,0.00033047824
114,0.012226044
115,0.04909393
116,-0.045890454
117,-0.04269245
118,-0.009790186
119,-0.011480505
120,0.01079551
121,-0.022036437
122,0.04872792
123,-0.05420526
124,0.022974283
125,0.016083287
126,0.014086516
127,-0.040904325
128,0.03889274
129,0.053377442
130,0.029489541
131,0.0047902972
132,0.00825624
133,0.009178259
134,0.05066076
135,0.027374174
136,0.020567054
137,0.038030453
138,0.022826863
139,0.022875255
140,0.027585573
141,-0.007277293
142,0.035151552
143,0.020370672
144,0.008160846
145,-0.0050248825
146,0.022177469
147,-0.053457145
148,0.04470343
149,0.037208542
150,0.0022390382
151,0.042377315
152,0.0072520226
153,0.05150728
154,0.028955875
155,0.035723258
156,0.034509443
157,0.035783038
158,0.022694146
159,-0.057386205
160,0.0076185768
161,0.01684822
162,0.03651302
163,0.044725467
164,0.021156702
165,0.04854185
166,0.035172403
167,0.0153789595
168,0.05313101
169,0.0008885836
170,0.020686977
171,0.01947757
172,-0.060265336
173,0.04097855
174,0.06578195
175,0.06687143
176,0.024458721
177,-0.038642917
178,0.041172612
179,-0.046218835
180,0.005113616
181,0.027052071
182,0.023873992
183,-8.4146406e-05
184,-0.059377704
185,0.00874343
186,0.006253711
187,0.010515075
188,0.028405748
189,0.0017387043
190,0.04068712
191,0.015904171
192,0.009305108
193,0.052430283
194,-0.049474187
195,0.025044713
196,0.014048374
197,-0.044807445
198,0.045727026
199,0.037746508
200,0.013752806
201,0.025694596
202,0.037299573
203,-0.053358737
204,0.010546657
205,0.08254571
206,0.01791693
207,0.037250802
208,0.023831418
209,-0.047447164
210,0.028879765
211,0.05707618
212,-0.0006189384
213,0.028797505
214,0.006892278
215,0.025030715
216,0.035758134
217,0.008455744
218,0.014494952
219,0.029202012
220,-0.058130063
221,0.0068348413
222,0.014084162
223,0.017159522
224,-0.001830253
225,0.05024351
226,-0.04068223
227,0.04611838
228,0.039915968
229,0.017233133
230,0.022875547
231,0.04226468
232,0.024834136
233,-0.019029416
234,0.020962868
235,-0.0073550493
236,0.018954935
237,-0.055114686
238,-0.07171864
239,-0.011821191
240,0.038512666
241,-0.04047336
242,0.02786834
243,0.012413144
244,0.010071792
245,-0.042660113
246,0.027400099
247,0.022745444
248,0.018864542
249,0.036502533
250,0.013463235
